name,artists,id,tempo,energy,loudness
Flare - Sped Up,Hensonn,4mx8c080rSBKbt6p5WnkI8,170.325,0.941,-2.579
|BONKERS|,staplegun,2G23H0snYYKYqRlyFvVObS,148.027,0.946,-6.47
Dystopia,"Pixel Terror, JayKode",42RtvgUX2EykuJTUw582FC,150.059,0.979,-2.915
Beat Down,Bossfight,6GaB23qYZMlEw3jyKcR232,150.058,0.989,-2.389
Breakpoint,"Pixel Terror, KULTIVATE",0suG793uHR6xZo8fpW6k3u,144.92,0.926,-3.118
Purple People Eater,Pegboard Nerds,53f686RDklf4tjm8XsEuJb,159.966,0.963,-3.281
Surf,Hyper Potions,10LpJJYns7Qc6POnyWJ14A,155.011,0.902,-4.578
Maboroshi,"Hyper Potions, Synthion, MYLK",5euHZw4X82pmE12LUP7Zam,169.981,0.97,-1.639
Velocity,meganeko,1ODEuo1QE9alDUNPOEcUBi,173.931,0.885,-5.921
Enigma,"Pixel Terror, Aviella",0X5L64QO8VX9nUgI7Evti9,142.047,0.917,-4.478
Geometrical Dominator,Waterflame,3BlqssusI6IIfjznD4MQf6,148.002,0.958,-6.475
Be Gone Mr. Gawne,Bossfight,2MPMRrUUKjwyYP1M6cStpZ,167.952,0.968,-2.572
Burning Sands,Boom Kitty,27HzWyhS60yKqF4LC7dboA,142.022,0.984,-3.08
Epsilon (drey_o3o Remix),"meganeko, drey_o3o",6loF2QgSpUNxfimTVc0VKl,174.564,0.991,-3.963
Expedition,"Hyper Potions, Nokae",6MyLqKVEnNMB6UdR6n6lEZ,159.978,0.981,-3.697
Cataclysm,"Au5, Crystal Skies",7Bka7BItYbiCQOSbJNx0ni,140.028,0.867,-5.859
Worth The Lie,"MUZZ, Koven, Feint",5mk5IUHKpdL0MBr6IY69hV,175.128,0.939,-1.673
Bone Dry,Tristam,0adZjn5WV3b0BcZbvSi0y9,159.997,0.857,-5.901
Salvation,"Excision, Dion Timmer, Donna Tella, Alexis Donn",39h4sbTow653fQrejHQeO9,146.03,0.863,-2.562
So What,"Ookay, Highlnd, jasper",1ZrEy4fu5wiHOmNf1tN2HP,150.076,0.924,-3.627
Give Out,"Kill The Noise, HALIENE",6UUr5IliMS5Sxvant8Eu8o,150.088,0.859,-3.944
SKYFALLING,"Wavedash, Flux Pavilion, meesh",6qYCmyVbEL4NXY5c0hMLzZ,155.162,0.87,-5.678
Happier By Now,"Kai Wachi, Lø Spirit",0qq33nVMNHelvjRGhTKPVH,159.873,0.902,-2.065
Salvation,"Excision, Dion Timmer, Donna Tella, Alexis Donn",5T4iqvsqEdJS4WFMmo0CZX,146.03,0.863,-2.562
Bone Dry,Tristam,3Z9YnauaNIMElVNnOxHpL7,159.997,0.857,-5.901
Horsepower,MUZZ,4Vp9Tu1dJWd0S2kEkv37Lh,175.039,0.974,-1.204
Shiawase - VIP,Dion Timmer,4mBjcSHnGpmG6n3IQAMCQF,150.096,0.98,-0.563
Centipede,Knife Party,0u2AIKDVafHwCFQ9LDnqxH,140.077,0.951,-3.71
The Executioner,Disciple,4Zvvf7qN8iwloFcrF28YOK,160.177,0.96,-3.543
Do Better,Feint,5RkJMrhW5aU2zMuJcZUNmh,174.101,0.912,-2.444
About Me,"Koven, ROY KNOX",5hiatfPmopoExZRZ2O1g5S,180.166,0.943,-2.044
Have Fun,Rameses B,4JdsnIZdnrkIU9emqiEhTo,173.979,0.965,-4.909
In The Echo,Koven,3umnS58B88O7O7tW2pIfqw,174.103,0.985,-0.083
Solar,NERO,61jTmmE6BNfmAFZ8zrBttX,155.963,0.932,-3.994
Hold On,"Chassi, Carter Skyers",1e51isPQ96VkmqXKVEcTRn,149.974,0.909,-1.872
Shine On,"Kaskade, Wilkinson, Paige Cavell",1dzT7QlKDdGiF4PMreS2Yc,174.001,0.969,-2.329
Galaxies,Protostar,2xO3tUdbE42rjV81NrQJ0S,175.961,0.91,-1.948
Boundless,Aero Chord,1A0FWUsihHaPmAHxZZpKbY,170.054,0.964,-3.751
Some Kind Of Magic,"LVTHER, Myzica",6nK94ZVtTm6p6w8cWO7Yye,168.019,0.931,-4.387
Glowing At Night,"Jo Cohen, BQ",21uaOXfavQdaA4sEAGiFZ6,140.079,0.945,-1.97
Titans,"Razihel, Aero Chord",6W0O77QdKFym1RX7n4hXJF,144.931,0.864,-2.843
Flow,Slippy,1acRf3oZ90iRh9KYT1UTX0,156.061,0.856,-4.207
New Horizons,Protostar,72SLeSm2l4cxtsFDe3cbzH,174.024,0.965,-3.858
Glowing At Night,"Jo Cohen, BQ",4PDYB1FHLwNRdlfHiLKqg4,140.084,0.946,-1.99
Higher,Aktive,1dHW6MypbqYUzRXAItBQ07,174.039,0.994,-2.122
Pressure,"Freaks & Geeks, flowanastasia",15gVi5XDXfQWsKUiz1X2tt,173.986,0.895,-2.77
Elemental,"Freaks & Geeks, Emily Makis",2yx33cf8wV4gCCVip2vKMo,174.009,0.963,-1.554
Rave Is Life,Freaks & Geeks,7D1dzFSnnylH8I5meZJo8x,173.964,0.987,-0.837
Vex,Bensley,5EYmCZ7F6sA7fVhNhkAMf1,173.97,0.983,-1.224
Wildfire,Sub Focus,0bqnisRuU2P52pXp3vXWol,174.0,0.967,-0.982
Jungle,"1991, Alex Hosking",0yVNtNWZshsOXu0GLWp07P,173.952,0.953,-2.795
The Time Is Now,Culture Shock,2DI5PnNnnscXVQSIeKR1gw,174.01,0.992,-0.903
Decisions,"Flite, Justin Hawkes",0X9JtSp7JDTfFE65lCbIxX,174.03,0.973,-1.19
Fading Fast,Keeno,6Lzxe1Od5pg3MtKiHtAWzr,174.991,0.92,-4.358
Bleary-Eyed,Keeno,1R9ZNynMGkEo2l4MwNufGF,175.027,0.892,-5.217
Out Of The Water,"BCee, Makoto",3pZNAU4GZztpJE8BOdhpb0,174.03,0.875,-3.83
Meet Again,"Etherwood, Charlotte Haining",7wkpF9WoMdMR8XZPpu3lTK,173.721,0.92,-5.188
Be There,"DJ Marky, Pola & Bryson, IYAMAH",6Keg029MW2OzYWZrt0kQFh,173.912,0.909,-1.664
Settle Down,"Makoto, L-Side",3HrYBjMhKco2izd1cC7rJ9,173.989,0.869,-3.545
Ursus,Kelle & Juha,0MgOwjSYWoZvAvRmI1frKX,172.055,0.855,-4.573
Somewhere Back There,Random Movement,2swpkJwi0UGrMMkMn0MUFa,171.936,0.914,-4.763
Little Bit Lighter - Instrumental,"BCee, Charlotte Haining, Etherwood",00YzhjbTJZQTLRLsLkz6EN,174.017,0.884,-4.513
Struggle,Wingz,6JLlwFcvK5mvl3vl4lQO4E,171.965,0.895,-4.929
Darling,En:vy,7FnLPevtUlNVQaa90BHMxA,172.035,0.927,-3.894
Is This Real - Zero T Remix,"Artificial Intelligence, Zero T",2ODdEGZJBLq3MtuYyLacDn,174.036,0.853,-4.096
Jazz Type Thing,"Zero T, Onj",1c63LcXUsmIYpBUnYSw83J,174.04,0.927,-4.239
Fading Fast,Keeno,5rIlZ6ixLF6qU9ioJjzq8O,174.988,0.92,-4.358
In Love,Akuratyde,3SRim977wtGiQqbkv9inkg,170.004,0.958,-4.564
Aiwa,RIOT,28jGcr8y6DAMj9dPTC0lT1,150.115,0.938,-1.041
Jungle Fury,RIOT,3QIovv6ZrMWJvk6yAo71xX,145.017,0.968,-0.471
Alone,B3RROR,0yAeuPXK0ab74uu4m9LNPM,160.025,0.931,-3.229
Push It To The Limit,"Qo, Trilo",7e5MkTpYHVXt8dnYeezOkd,171.998,0.952,-2.282
Push It To The Limit,"Qo, Trilo",2erTGEjv5eLsqc10Z7ge20,171.998,0.952,-2.282
To Light a Fire,"Daniel Kandi, Reborn Sound System",4PSajMg5llKKiP96GwU8Rz,140.003,0.994,-6.587
Handbrake,Ben Nicky,5lJKkE4D9KjKk5tS22tZvJ,154.995,0.97,-5.833
Tidal,"Ben Hemsley, Rose Gray",0WutQwXrfvPljSMC5XJXd1,140.995,0.988,-4.212
Age of Consent - 2015 Remaster,New Order,2EEinN4Zk8MUv4OQuLsTBj,161.964,0.91,-5.559
Fresh,DEVO,0QvrHKd7rCBBI5yrlkLWOr,153.003,0.962,-3.296
Afraid of the Dark,"KUURO, Sophiya",4QdPnsIiInAvsIlKUdPGQX,160.056,0.92,-5.809
What Lies Beneath,GHOST DATA,7pnvQUeV68JLNc0cPC9amN,140.064,0.862,-5.072
What Lies Beneath,GHOST DATA,0dNGmKhIYcLyRGiM3g95Sa,140.064,0.862,-5.072
What Lies Beneath,GHOST DATA,3iJ8alLmt0HYSd2gix810N,140.064,0.862,-5.072
Genki Girl!,GHOST DATA,3AIOEO2fYNeoEb7E5xTdTv,170.027,0.964,-6.173
Bring Me Joy - Freaks & Geeks Remix,"Rudimental, Karen Harding, Freaks & Geeks",1Arviy3wusZ02379SkO5x3,173.85,0.962,-1.199
Bombalaya - Blooom Remix,"DNMO, Wolfy Lights, Blooom",5utINKwnXh1drV2vI9cnze,174.76,0.95,-1.513
Happy People,High Contrast,6iFwT5dueWSGhvxEozBIib,173.015,0.909,-2.848
Tokyo Drift,"BEAUZ, MYLK",2pnv23jwKKBqqlZuNjharT,150.082,0.979,-3.035
All We Get,"Elephante, yetep, Daye",2sdLCGpvMTedz3m0TcAUwf,150.069,0.867,-4.706
Above It,"Man Cub, B-Sharp",2VEyqz4tSM2PAC4XUNq6sP,140.048,0.946,-3.958
Memories,Anki,7jvlY4fBkXckZ49YW7Smhg,173.931,0.893,-5.171
Step Back,"Gammer, Pixel Terror",6WLt6imgOa1qmdZhBZ4PHh,150.002,0.983,-2.016
Step Back,"Gammer, Pixel Terror",0oHEiGSJjfLROTq55TEoFl,150.023,0.982,-2.017
Pump,"Teddy Killerz, Pegboard Nerds",0wdmg7VuwWNWnRkDWOh27n,173.984,0.991,-1.003
Run You,The Qemists,22g4XtPoAnhI5npNLXtNUm,173.915,0.888,-2.785
Positions,"Andy C, whoismoli",0cBJaK5TrHIcdI0YH1cOAw,173.855,0.965,-1.242
Punk,"Andy C, Ferry Corsten",729B5zjWEZ1GPow5IzTJhJ,173.974,0.983,-0.125
I See You,A.M.C,1h9CeTtiXEJ6aPf3CwTb0s,175.022,0.918,-0.397
Demons,"René LaVice, Genetics, Elle Exxe",7HdJns0LuaRiJSxf1UJXp4,175.107,0.959,-2.227
Firetime,"SHY FX, Mr. Williamz",0AnCANuCLwQENug7NpPOjK,174.959,0.953,-2.36
Droideka,Neoslave,0cz9JjUXssN1OdEE1ajdzV,199.932,0.863,-6.861
Memory Reset,Turboslash,2SDKwvo7qZyqqVxFX1IC4P,144.966,0.977,-1.394
Militech,Vector Seven,2Pn0FRn62VemZecH9JQVui,150.001,0.966,-5.988
The Matrix,Head Splitter,6mILlDuuh8m5QuStFch6Y7,199.997,0.976,-2.567
Belladonna,Gold Geisha,2D20RgZ2TfdyPqTOkRozAu,200.06,0.902,-4.046
Angel.Exe,Social Kid,0JQnDkxY5v5pYGUJbR4EF2,179.976,0.901,-5.151
Avor,Eqwillus,2QyEVlZDstNFjGHWaZYLCQ,199.959,0.973,-2.79
Aleph,Gesaffelstein,0W2275seLSrfjHxeWmDb6l,162.035,0.894,-6.061
Victory,Aesaph,1MlR3hCfy9hQT79JkaxgWo,160.028,0.873,-3.128
Masks Off,Yvois,0gphUUX4exoTKiOefknckl,171.997,0.911,-6.75
9mm,"Memphis Cult, Groove Dealers, SPLYXER",3K5KXm1uZjiyQk0J7op1xf,154.964,0.915,-2.749
The Automotivo Infernal 1.0 - Purple,"MRL, Mc Gw",684yJVwS41anCimZla5jk9,140.008,0.913,-1.957
"Gone For The Night (feat. Liam Bailey, BackRoad Gee, Scrufizzer & Shakes)","Disrupta, Rudimental, Liam Bailey, BackRoad Gee, Scrufizzer, Shakes",0qgdSsuggcpvhvugFj1G31,173.004,0.924,-4.097
New,"CLIPZ, Chy Cartier",1EkCgHdly9oEWpTHkLBkNf,171.955,0.995,-0.172
Take Me Away,"Kanine, Nu-La",0LDcW1jwOpYCqdDZbS1J6Y,175.112,0.935,-3.365
Fluent,"Flava D, Emz",0Wg68asc8j6JEcPwoI3cGr,174.038,0.927,-3.411
Cards On The Table,Nia Archives,56NeC5RB6XA4ctZ8FctwG4,169.934,0.928,-3.699
Fun in the Sun,"Luude, Harry Bee",3H0u4i0rnjVYnaYlT6hIw1,174.987,0.903,-5.655
Silence Is Golden,Ben Kama,77aSxWO9aDkERogZAQ3SNn,172.018,0.876,-2.24
Memories,"MONSS, Shapes",6A5MjNKB6otPeBRycs0Nov,173.946,0.919,-2.741
Aliyu,"Zafrir, Billx, Anna Timofei",6UO97Q5Rbg7iLAcIiAIZHr,159.926,0.963,-5.089
Melodic Robot,"Fresh Drop, Brandon Hombre",5G9QY9JZovSC9g30sB1P77,157.014,0.851,-4.191
awake,effe,26YxXWEfeLOwllrFgFq2pe,160.026,0.95,-0.619
