name,artists,id,tempo,energy,loudness
"Heroes (From ""My Hero Academia"")",NateWantsToBattle,1hG6CJ2K7M1w2pqxClRZXi,198.047,0.944,-3.623
Biohazard,Crusher-P,3EUPo9glAy3ab6OwuGzecF,140.037,0.922,-2.357
The Day,NateWantsToBattle,0lvT8MtEShxGe8jybc6cnr,186.209,0.925,-4.047
Last of Me,CircusP,2pRAUlbHnLpfmBjKWmbiVA,168.869,0.856,-5.712
Oracion,"dj-Jo, Lu",3swKk7wmNfrdVOO0OGzVC9,166.052,0.864,-3.374
Kaibutsu - Remix,"dj-Jo, Ririsya",409AaNFHzQA2zTh5XZv7tJ,169.988,0.87,-0.962
Hello To Dream - Extended,"dj-Jo, Takara",7bNuwOF15DVBAnYkfIclTV,160.045,0.88,-3.242
Again,Crusher-P,4v9ML498AaiaIvc6RWn8Mh,144.955,0.9,-6.435
Boku no Sensou (Full Version) [Remix],dj-Jo,5KoYG8IKbxsgoQj4AkD2xD,144.056,0.933,-1.466
Kyouran Hey Kids!! (feat. YOHIOloid) [dj-Jo Remix],dj-Jo,4lO5iyiRWCzvIebgYm0sYR,141.95,0.935,-3.135
Biohazard,Crusher-P,4bsXGdbbRXCjLtiQSLJPV3,140.037,0.922,-2.357
Rise,"dj-Jo, Romix",0CHkoEMy4O0UUfDNW58eLI,165.048,0.912,-2.269
Shinzou wo Sasageyo,dj-Jo,0IcSZbggcKJ9duNEdK9J7T,159.977,0.889,-1.852
マジカルシンメトリ(Extended) feat.Anon Kanon,tilt-six,5S336zqxmqdItHiZyCnnvp,141.008,0.985,-2.067
夜明け前のレゾナンス feat.HATSUNE MIKU,tilt-six,5kYa1602VmFg2Auj7JpnTK,140.978,0.983,-2.461
エレクトロサチュレイタ(PandaBoY's ''Electro Winter'' Remix) feat.HATSUNE MIKU,tilt-six,1Z5ESkg8PYQGxmCehaB3i8,140.964,0.963,-1.993
ホシゾラレイン,tilt-six,3Hn92kevUMQrfNI88cMbUf,142.963,0.903,-4.201
Kimi No Shiranai Monogatari (feat. Hatsune Miku) [dj-Jo Remix],dj-Jo,2I9WCCGZvrQn5XEzBbzcR1,165.048,0.899,-4.019
DARKNESS BEFORE THE DAWN!,"Caleb Hyles, Lacey Sturm, Wolves At The Gate, Judge & Jury",7fYPGeh5sIKyH2LXTZBTP6,165.0,0.992,-3.262
Break Through it All,"RichaadEB, Gilly",5JB8OsE0VJciQ6DsOm5rnX,195.008,0.974,-2.407
"Ultimate Battle - Ka Ka Kachi Daze (From ""Dragon Ball Super"")",CyYu,4g9UmjhXsi2eYudenqpM77,170.006,0.973,-4.88
Kimi No Sei - Remix,"dj-Jo, Yune",2iW4CwGBc7btg94RjHPAYe,174.052,0.895,-1.444
Kiseki Saemo,Omoi,0fGosbdwQLBPhET290MmYe,180.943,0.985,-1.131
snooze (feat. SHIKI),"wotaku, SHIKI",2tGC49JU9byQT0wXzIhYA7,149.976,0.973,-3.242
ラグトレイン,稲葉曇,6v8fX5yXd15H3xSyvVvJ5e,147.047,0.947,-4.517
Teo,Omoi,0avbIGWVb4n7CcbomSEogt,185.14,0.972,-1.909
For the best smile!,Clean Tears,1QHq3AGPAPogF102HfzokA,164.898,0.996,-3.14
アラビアンレスポンス (Breeze Remix),Clean Tears,0ZCUFIGexJum8rl5SYGuBe,150.003,0.982,-2.688
Circulation (Breeze Remix),Clean Tears,14oHW4jTDOAKQXMbHUtkPz,173.986,0.913,-3.85
impure (Reverberations3 Remix),Clean Tears,4XhQ8pORvG3ODjZ1HUhTiF,140.036,0.989,-3.926
1207,Clean Tears,4ETwL8pEyXpjMMIZ0Dn3rb,142.011,0.989,-5.557
Chemical inversion (Reverberations3 Remix),Clean Tears,1YDr4dGMupizJNHBpcDKKx,145.005,0.971,-5.572
Abandonment,Clean Tears,1bdj21g0nZ2KBVE0IKLp1j,174.02,0.943,-3.411
Tranquilizer,Clean Tears,7kRsfskUe3HuMyRyrmgqlx,140.003,0.979,-4.269
anger [Extend-RMX],Tripshots,5y7O891tLcJc5Sdk1z4lTP,140.007,0.95,-5.89
Extended [Sirius RMX],Tripshots,7c9Jeh3bwPKINbnQ5sBSAq,144.987,0.998,-4.713
Rocca,Clean Tears,0kwpSk3f6brcYRCpTHu73h,150.015,0.919,-5.484
Far away (Album Edition),Clean Tears,7c02nVrWTYoePFhvdZhu3n,144.968,0.975,-6.283
Wing,Clean Tears,7otD0kqHgULRH0cNIgsRxu,141.993,0.951,-6.884
Tears of palm -Trance Remix-,Clean Tears,1qEuvkqYtcYge0HECuwzhJ,140.002,0.992,-6.957
Beyond the waves,Clean Tears,297QFIuE1cqVdYFWVQjIOo,144.966,0.983,-5.952
Far away,Clean Tears,2cWE1IWflNsoqg5GrtRyl5,144.968,0.975,-6.283
Elements,Clean Tears,7c8cnwUmMQij7uwiPggGKh,140.009,0.922,-6.496
Far away (3x Remix),Clean Tears,1XT9wgwkBFDZlQDbhtVcGv,140.01,0.997,-5.231
ワンダラーズ,ATOLS,7fRc0Y1LGTgachp16vZIuo,152.025,0.955,-6.518
Crossroads (feat. 初音ミク),Clean Tears,7cjmJUPaYcKgpOkEyvOAnS,140.027,0.998,-3.418
Crossroads (Extended Mix) (feat. 初音ミク),Clean Tears,3U5doXy8J6uEJcr8kY9Yj6,140.0,0.997,-3.973
アルペジオ,Clean Tears,2XFyFUQF1p7dkTkdzEnOO0,140.01,0.997,-3.076
Cosmos,"Capchii, Megpoid",6UeTD7DdWJzl3U5IMc6B4k,179.994,0.95,-1.956
"Tears of palm (かめりあ's ""Retearing"" Remix)",Clean Tears,2ZalgvdiJ4r1a1MZ6J5I8W,170.024,0.865,-6.759
Beyond the waves,Clean Tears,5vk2TbRsILOKX7kruAOgiZ,144.966,0.983,-5.952
Soaring (Instrumental),Clean Tears,2ZQ8NJMBQfYemFD70fjne5,140.017,0.984,-4.949
shiningray(Starving Trancer Remix),164,6qiTAyIpa9Eod5aP6BjR1C,144.005,0.983,-3.905
Rora - BWV 999,AVTechNO!,2VApEaoE15QIoRikEFmUqW,198.088,0.921,-6.984
boku-boku,AVTechNO!,67tlnG5rFhTOOzUEFXdLO3,179.989,0.979,-6.103
crossing field,LiSA,2coKu2z3F2nWNryReqYUhr,179.227,0.978,-2.424
君のせい,the peggies,3DpnZMnlXIVWVB8RWFjuAI,174.024,0.986,-1.51
ROCK-mode,LiSA,39LpcI7EADrZZDxNorrM2U,180.111,0.937,-3.153
Canvas boy × Palette girl,LiSA,6IyNjy1RDpLSvg3B9oTYlO,144.956,0.971,-1.575
TRAGEDY:ETERNITY,MYTH & ROID,4lfWouzRu2nxSIV9GV59NM,184.851,0.864,-5.879
