name,artists,id,tempo,energy,loudness
See It Coming,Berg,6UffFtGJyLC5JLWtHV4XTw,140.016,0.927,-4.938
Symbiosis,Jilax,5wtUmDnAhBZ79Po5eaQUW3,140.047,0.862,-5.511
Bansuri,Electric Universe,5PTwd54TX8VWHOD2UgR32f,144.994,0.963,-4.078
Ancient Aum,"Electric Universe, Ace Ventura",6n2OgfyvY0MuwFphEywfgz,141.988,0.928,-5.377
Psychedelic Experience,Ranji,2xfahwqTVxKWMMgFMSETST,140.003,0.932,-5.968
Keleno,"Ranji, Pondora",3167iOe6WMN5VgukbH8EXw,142.001,0.853,-5.542
Faya,"WHITENO1SE, No Comment, Richie Loop",0qPomrBI5l7I7txysyfQut,140.035,0.903,-4.776
Demolution,InterSys,49J3tm5PjGBRDx0gbj8pRY,144.991,0.936,-4.232
Ecstasy of Gold - P.R.O.G. Remix,"WHITENO1SE, P.R.O.G.",12RsxZLU2oVpHLu9yhNosu,140.023,0.897,-5.826
The Highest Mountain,"Astral Projection, Oforia",16ubCJqDB9Zbi51LBm10PK,142.996,0.962,-6.056
Flare - Sped Up,Hensonn,4mx8c080rSBKbt6p5WnkI8,170.325,0.941,-2.579
THOMAS,"ZWE1HVNDXR, NONTHENSE",3cjg55upztjI5bIsBQqSN1,175.021,0.908,-4.118
Cataclysm,"Au5, Crystal Skies",7Bka7BItYbiCQOSbJNx0ni,140.028,0.867,-5.859
About Me,"Koven, ROY KNOX",5hiatfPmopoExZRZ2O1g5S,180.166,0.943,-2.044
Have Fun,Rameses B,4JdsnIZdnrkIU9emqiEhTo,173.979,0.965,-4.909
Ready Now,"Afinity, ary kemler",640Mqt7rGD8xjq0H4f9ASQ,145.212,0.886,-3.707
Solar,NERO,61jTmmE6BNfmAFZ8zrBttX,155.963,0.932,-3.994
Forever Now,"DVRKCLOUD, Vaance, Ines Rae",4mKr1vziKTFOHjQknnHjUS,144.872,0.914,-4.112
Above It,"Man Cub, B-Sharp",2VEyqz4tSM2PAC4XUNq6sP,140.048,0.946,-3.958
Memories,Anki,7jvlY4fBkXckZ49YW7Smhg,173.931,0.893,-5.171
In The Echo,Koven,3umnS58B88O7O7tW2pIfqw,174.103,0.985,-0.083
Flow,Slippy,1acRf3oZ90iRh9KYT1UTX0,156.061,0.856,-4.207
