name,artists,id,tempo,energy,loudness
Go and Get It,"Memento Mori, Massivebass, Massivo",68mHAuRNqFWBKVTxF1qtth,145.003,0.862,-6.3
Hogbeza,"Memento Mori, Psyfeature",4I78a7kBr9IlrVc69GbwLY,141.995,0.86,-5.152
Mean to Me - Trinergy Remix,"Valerie Lighthart, Trinergy",54oCxQNnzL790QVTIR5gHd,150.286,0.889,-1.874
Made To Love,TobyMac,2lWAP3l4ILsjy11jsX49Ys,169.975,0.937,-3.353
Northern Sky (feat. Kb),"Capital Kings, KB",1B8apLbD3Xmu0AyzDsc8R8,144.952,0.966,-2.804
Changed - OHKI Roller Rink Remix,Jordan Feliz,7h8sVS1zlPsMIQZDyFmFSK,174.006,0.888,-6.504
Darker Waters,Matt Moore,00OA2SUEe3Cr4O7TzgCc9T,193.99,0.933,-5.745
No Plan B - Doug Weier Remix,"Manafest, Doug Weier",3ejydoU9tAdSAT8WvljdVo,140.103,0.971,-4.155
Renegade (Doug Weier Remix),Manafest,4OfmFDUFVsDVNoSdkgzVss,170.02,0.958,-4.536
Unpopular,Skillet,2LQj9oZhGaxq6oBb9FMwGq,160.108,0.859,-4.667
I Won't Look Back,Fireflight,5llksYcJ2Q7eL5HaCMZdvE,170.088,0.95,-5.373
My Novocain,Seventh Day Slumber,3bdCVsZ1cBAg4nHUtx2XFv,172.952,0.934,-5.011
I Need You,Seventh Day Slumber,6zd8T1PBe9JFHmuVnurdRp,147.997,0.861,-5.085
Hero,Skillet,4CbKVDZkYKdv69I4bCaKUq,142.018,0.967,-2.543
Yours Truly,"Seventh Day Slumber, Magdalene Rose",0LfSlWOS4TXJHOBZ7fPiNy,162.032,0.891,-5.612
前前前世 - movie ver.,RADWIMPS,6fmowbDHpvQ1qw7lp22Xhi,189.888,0.906,-3.979
Holiday in Cambodia,Dead Kennedys,6n7DUOZGILo0dU9pwjQsbA,205.39,0.979,-3.903
Police Truck,Dead Kennedys,6M4yg3BknyHmRnsvlkuHD5,202.423,0.967,-5.381
Age of Consent - 2015 Remaster,New Order,2EEinN4Zk8MUv4OQuLsTBj,161.964,0.91,-5.559
Fresh,DEVO,0QvrHKd7rCBBI5yrlkLWOr,153.003,0.962,-3.296
Holidays in the Sun,Sex Pistols,2e4RcQohKWo8oZIUfjxiGo,147.9,0.979,-4.791
Brand New Cadillac,The Clash,7aN5Dd1mTrZei6Tt6ZhzI2,151.586,0.875,-6.234
Tommy Gun - Remastered,The Clash,3ZhMxNCJcoYBj2wrO4VU3l,161.961,0.937,-5.737
No Feelings,Sex Pistols,4GtIKUB1Q5O65ofahYPRfX,164.291,0.961,-5.743
Superman,Goldfinger,4X3qGigyU6ARi3HP4lWD95,194.838,0.937,-3.986
Runnin' Wild,Airbourne,71fSn6OIF7HnCbgCzOBqpj,162.052,0.947,-4.122
Blackjack,Airbourne,6FSIETAperDxRREVZL7nGj,185.068,0.975,-2.945
R.O.C.K. In The U.S.A. (A Salute To 60's Rock),John Mellencamp,0lqfBvf1Gqmmt3l5Qeirlm,164.018,0.958,-4.009
Runnin' Down A Dream,Tom Petty,5yAu4njFSdM47dfsTkQPZ2,169.798,0.956,-6.371
Heartbreaker,Airbourne,1R8T9Hnsz0M01pheJIi5qT,151.051,0.938,-3.4
Hardwired,Metallica,7myke8Id4WyKFlWcRBJdIF,185.364,0.991,-3.126
Rock Out,Motörhead,4cEBku3RXce9XiDlNU6WaU,142.981,0.989,-5.327
The Wait - 2006 Remaster,Pretenders,2ktpb2ybPiAhyFJYUYeaK1,187.405,0.852,-6.447
Don't Stop Me Now - Remastered 2011,Queen,7hQJA50XrCWABAu5v6QZ4i,156.271,0.865,-5.277
Enfilade,At the Drive-In,0zSrmT2471CwIB9utbwPe6,171.051,0.948,-4.178
Prognosis,Blue Stahli,2K6idekZrz1H2okt4gJTO8,180.043,0.941,-5.79
Dead Channel,Blue Stahli,2LKWHDVaL1ic7IKlNpIAH2,180.011,0.9,-5.624
Upgrade - Rewired by HYPER,"Blue Stahli, Danny Cocke, Hyper",7bBB0oDNjRKjZhvEigyTSF,200.025,0.943,-6.048
Redneck Technology,3D Stas,7pdRqnRQCWEaKROI0tCvzq,174.961,0.969,-2.21
Run You,The Qemists,22g4XtPoAnhI5npNLXtNUm,173.915,0.888,-2.785
