name,artists,id,tempo,energy,loudness
crossing field,LiSA,2coKu2z3F2nWNryReqYUhr,179.227,0.978,-2.424
ROCK-mode,LiSA,39LpcI7EADrZZDxNorrM2U,180.111,0.937,-3.153
Canvas boy × Palette girl,LiSA,6IyNjy1RDpLSvg3B9oTYlO,144.956,0.971,-1.575
crossing field,LiSA,3mScGCzxiXA9OaHdBeuk7O,179.072,0.983,-2.281
snooze (feat. SHIKI),"wotaku, SHIKI",2tGC49JU9byQT0wXzIhYA7,149.976,0.973,-3.242
マジカルシンメトリ(Extended) feat.Anon Kanon,tilt-six,5S336zqxmqdItHiZyCnnvp,141.008,0.985,-2.067
夜明け前のレゾナンス feat.HATSUNE MIKU,tilt-six,5kYa1602VmFg2Auj7JpnTK,140.978,0.983,-2.461
エレクトロサチュレイタ(PandaBoY's ''Electro Winter'' Remix) feat.HATSUNE MIKU,tilt-six,1Z5ESkg8PYQGxmCehaB3i8,140.964,0.963,-1.993
ホシゾラレイン,tilt-six,3Hn92kevUMQrfNI88cMbUf,142.963,0.903,-4.201
shiningray(Starving Trancer Remix),164,6qiTAyIpa9Eod5aP6BjR1C,144.005,0.983,-3.905
QUEEN,LiSA,0ifl6VeDZkAhEQtC1J1QBk,140.0,0.961,-3.962
crossing field,LiSA,4BvuZVf9KyBN3QiPfeI9hw,179.041,0.983,-2.246
Catch the Moment,LiSA,6vRkYTrWDzzVrZTqBJFR0u,190.083,0.978,-1.875
白銀,LiSA,0f5hcKLCRgpdVV424X4XDQ,142.983,0.888,-3.326
ROCK-mode,LiSA,3pvwavXxyhx7lIBdYY5Mjq,180.111,0.937,-3.153
Rally Go Round,LiSA,2kuitZwspuGShsNYXx5Zvp,189.798,0.996,-2.138
dis/connect,LiSA,1wDxr0NwlusJFkwu6ci8WO,140.071,0.982,-2.501
ジェットロケット,LiSA,7qhndu9caI7FUlfmKORIOD,178.042,0.94,-2.138
シャンプーソング,LiSA,2IqjLpWrs5gI2xG2OEFxvx,170.01,0.969,-2.82
play the world!,"LiSA, PABLO",4M9x9R9Ar89CFatJwMbkrf,160.944,0.925,-3.56
ROCK-mode,LiSA,0KroqbXXwZMZnwA2dWEQeQ,180.111,0.937,-3.153
