name,artists,id,tempo,energy,loudness
Cataclysm,"Au5, Crystal Skies",7Bka7BItYbiCQOSbJNx0ni,140.028,0.867,-5.859
Purple People Eater,Pegboard Nerds,53f686RDklf4tjm8XsEuJb,159.966,0.963,-3.281
Worth The Lie,"MUZZ, Koven, Feint",5mk5IUHKpdL0MBr6IY69hV,175.128,0.939,-1.673
Bone Dry,Tristam,0adZjn5WV3b0BcZbvSi0y9,159.997,0.857,-5.901
Salvation,"Excision, Dion Timmer, Donna Tella, Alexis Donn",39h4sbTow653fQrejHQeO9,146.03,0.863,-2.562
So What,"Ookay, Highlnd, jasper",1ZrEy4fu5wiHOmNf1tN2HP,150.076,0.924,-3.627
Give Out,"Kill The Noise, HALIENE",6UUr5IliMS5Sxvant8Eu8o,150.088,0.859,-3.944
SKYFALLING,"Wavedash, Flux Pavilion, meesh",6qYCmyVbEL4NXY5c0hMLzZ,155.162,0.87,-5.678
Happier By Now,"Kai Wachi, Lø Spirit",0qq33nVMNHelvjRGhTKPVH,159.873,0.902,-2.065
Salvation,"Excision, Dion Timmer, Donna Tella, Alexis Donn",5T4iqvsqEdJS4WFMmo0CZX,146.03,0.863,-2.562
Bone Dry,Tristam,3Z9YnauaNIMElVNnOxHpL7,159.997,0.857,-5.901
Horsepower,MUZZ,4Vp9Tu1dJWd0S2kEkv37Lh,175.039,0.974,-1.204
Shiawase - VIP,Dion Timmer,4mBjcSHnGpmG6n3IQAMCQF,150.096,0.98,-0.563
Centipede,Knife Party,0u2AIKDVafHwCFQ9LDnqxH,140.077,0.951,-3.71
The Executioner,Disciple,4Zvvf7qN8iwloFcrF28YOK,160.177,0.96,-3.543
