name,artists,id,tempo,energy,loudness
Made To Love,TobyMac,2lWAP3l4ILsjy11jsX49Ys,169.975,0.937,-3.353
Northern Sky (feat. Kb),"Capital Kings, KB",1B8apLbD3Xmu0AyzDsc8R8,144.952,0.966,-2.804
Changed - OHKI Roller Rink Remix,Jordan Feliz,7h8sVS1zlPsMIQZDyFmFSK,174.006,0.888,-6.504
Darker Waters,Matt Moore,00OA2SUEe3Cr4O7TzgCc9T,193.99,0.933,-5.745
No Plan B - Doug Weier Remix,"Manafest, Doug Weier",3ejydoU9tAdSAT8WvljdVo,140.103,0.971,-4.155
Renegade (Doug Weier Remix),Manafest,4OfmFDUFVsDVNoSdkgzVss,170.02,0.958,-4.536
Unpopular,Skillet,2LQj9oZhGaxq6oBb9FMwGq,160.108,0.859,-4.667
I Won't Look Back,Fireflight,5llksYcJ2Q7eL5HaCMZdvE,170.088,0.95,-5.373
My Novocain,Seventh Day Slumber,3bdCVsZ1cBAg4nHUtx2XFv,172.952,0.934,-5.011
I Need You,Seventh Day Slumber,6zd8T1PBe9JFHmuVnurdRp,147.997,0.861,-5.085
Hero,Skillet,4CbKVDZkYKdv69I4bCaKUq,142.018,0.967,-2.543
Yours Truly,"Seventh Day Slumber, Magdalene Rose",0LfSlWOS4TXJHOBZ7fPiNy,162.032,0.891,-5.612
