name,artists,id,tempo,energy,loudness
Do Better,Feint,5RkJMrhW5aU2zMuJcZUNmh,174.101,0.912,-2.444
Higher,Aktive,1dHW6MypbqYUzRXAItBQ07,174.039,0.994,-2.122
Worth The Lie,"MUZZ, Koven, Feint",5mk5IUHKpdL0MBr6IY69hV,175.128,0.939,-1.673
Bone Dry,Tristam,0adZjn5WV3b0BcZbvSi0y9,159.997,0.857,-5.901
Pressure,"Freaks & Geeks, flowanastasia",15gVi5XDXfQWsKUiz1X2tt,173.986,0.895,-2.77
Elemental,"Freaks & Geeks, Emily Makis",2yx33cf8wV4gCCVip2vKMo,174.009,0.963,-1.554
Rave Is Life,Freaks & Geeks,7D1dzFSnnylH8I5meZJo8x,173.964,0.987,-0.837
Vex,Bensley,5EYmCZ7F6sA7fVhNhkAMf1,173.97,0.983,-1.224
Wildfire,Sub Focus,0bqnisRuU2P52pXp3vXWol,174.0,0.967,-0.982
Jungle,"1991, Alex Hosking",0yVNtNWZshsOXu0GLWp07P,173.952,0.953,-2.795
The Time Is Now,Culture Shock,2DI5PnNnnscXVQSIeKR1gw,174.01,0.992,-0.903
Bone Dry,Tristam,3Z9YnauaNIMElVNnOxHpL7,159.997,0.857,-5.901
Horsepower,MUZZ,4Vp9Tu1dJWd0S2kEkv37Lh,175.039,0.974,-1.204
