name,artists,id,tempo,energy,loudness
星降る夜のアデニウ,"Yunomi, nicamoq",5sTbaLbmAnjAkwROiYyktu,160.018,0.975,-3.943
Shuwa*Shuwa Parfait,Nanahira,0tjGbehnu4hSi7S5j1GuuR,155.074,0.943,-2.491
Looking for a New Adventure,"Camellia, Nanahira",3cRIBzUBYkELL2sqXgHP8s,175.034,0.97,-2.364
You Make My Life 1UP - x127 Long ver.,"Camellia, Nanahira",13NJanGURIz7PP1oZGCjii,180.007,0.978,-1.731
Bamboo Disco (feat. TORIENA),"Yunomi, TORIENA",34x3r65wXDQNXdMeDmDWbu,154.009,0.909,-4.132
"senpai, notice me! - YUC'e Remix","Camellia, Nanahira",3BohG9TOEAiFXrtH0AeQit,159.979,0.966,-3.224
ロボットハート,"Yunomi, Kizuna AI",667eE4CFfNtJloC6Lvmgrx,200.066,0.933,-2.639
東京シュノーケル,"Yunomi, nicamoq",4IDktPgl61QHXnOscz9Psd,160.014,0.955,-3.418
Light it up,Camellia,3MA7N8ALJzg4I696jxdk8d,174.931,0.943,-3.828
Exit This Earth's Atomosphere,Camellia,0Ww4xWSspmcAO6N8zzaR3d,170.082,0.952,-2.58
