name,artists,id,tempo,energy,loudness
crossing field,LiSA,2coKu2z3F2nWNryReqYUhr,179.227,0.978,-2.424
JUSTadICE,Seiko Oomori,4YXlnwnK3yt5xLfF5Q8wKG,185.034,0.988,-1.729
君のせい,the peggies,3DpnZMnlXIVWVB8RWFjuAI,174.024,0.986,-1.51
ROCK-mode,LiSA,39LpcI7EADrZZDxNorrM2U,180.111,0.937,-3.153
Canvas boy × Palette girl,LiSA,6IyNjy1RDpLSvg3B9oTYlO,144.956,0.971,-1.575
TRAGEDY:ETERNITY,MYTH & ROID,4lfWouzRu2nxSIV9GV59NM,184.851,0.864,-5.879
Fuwa Fuwa Time,Sakurakou K-ON Bu,05XoZNL3OMdegGO0SnrHWD,180.171,0.982,-3.439
forget-me-not,ReoNa,3A4Najtnflk9RIdkM34Njs,147.954,0.918,-3.865
crossing field,LiSA,3mScGCzxiXA9OaHdBeuk7O,179.072,0.983,-2.281
センチメンタルクライシス,halca,2I6r6Cs4fG1DbKGy6n9UqF,167.187,0.895,-2.535
QUEEN,LiSA,0ifl6VeDZkAhEQtC1J1QBk,140.0,0.961,-3.962
crossing field,LiSA,4BvuZVf9KyBN3QiPfeI9hw,179.041,0.983,-2.246
Catch the Moment,LiSA,6vRkYTrWDzzVrZTqBJFR0u,190.083,0.978,-1.875
白銀,LiSA,0f5hcKLCRgpdVV424X4XDQ,142.983,0.888,-3.326
ROCK-mode,LiSA,3pvwavXxyhx7lIBdYY5Mjq,180.111,0.937,-3.153
Rally Go Round,LiSA,2kuitZwspuGShsNYXx5Zvp,189.798,0.996,-2.138
dis/connect,LiSA,1wDxr0NwlusJFkwu6ci8WO,140.071,0.982,-2.501
ジェットロケット,LiSA,7qhndu9caI7FUlfmKORIOD,178.042,0.94,-2.138
シャンプーソング,LiSA,2IqjLpWrs5gI2xG2OEFxvx,170.01,0.969,-2.82
play the world!,"LiSA, PABLO",4M9x9R9Ar89CFatJwMbkrf,160.944,0.925,-3.56
ROCK-mode,LiSA,0KroqbXXwZMZnwA2dWEQeQ,180.111,0.937,-3.153
only my railgun,fripSide,0djCH6HbCN3cFzNkKd46yv,142.988,0.998,-1.122
