name,artists,id,tempo,energy,loudness
crossing field,LiSA,2coKu2z3F2nWNryReqYUhr,179.227,0.978,-2.424
前前前世 - movie ver.,RADWIMPS,6fmowbDHpvQ1qw7lp22Xhi,189.888,0.906,-3.979
ROCK-mode,LiSA,39LpcI7EADrZZDxNorrM2U,180.111,0.937,-3.153
Canvas boy × Palette girl,LiSA,6IyNjy1RDpLSvg3B9oTYlO,144.956,0.971,-1.575
Guess Who Is Back,Kumi Koda,4lBliLm5ufCBNPlCzpvrQB,183.266,0.94,-2.791
crossing field,LiSA,3mScGCzxiXA9OaHdBeuk7O,179.072,0.983,-2.281
QUEEN,LiSA,0ifl6VeDZkAhEQtC1J1QBk,140.0,0.961,-3.962
crossing field,LiSA,4BvuZVf9KyBN3QiPfeI9hw,179.041,0.983,-2.246
Catch the Moment,LiSA,6vRkYTrWDzzVrZTqBJFR0u,190.083,0.978,-1.875
白銀,LiSA,0f5hcKLCRgpdVV424X4XDQ,142.983,0.888,-3.326
ROCK-mode,LiSA,3pvwavXxyhx7lIBdYY5Mjq,180.111,0.937,-3.153
Rally Go Round,LiSA,2kuitZwspuGShsNYXx5Zvp,189.798,0.996,-2.138
dis/connect,LiSA,1wDxr0NwlusJFkwu6ci8WO,140.071,0.982,-2.501
ジェットロケット,LiSA,7qhndu9caI7FUlfmKORIOD,178.042,0.94,-2.138
シャンプーソング,LiSA,2IqjLpWrs5gI2xG2OEFxvx,170.01,0.969,-2.82
play the world!,"LiSA, PABLO",4M9x9R9Ar89CFatJwMbkrf,160.944,0.925,-3.56
ROCK-mode,LiSA,0KroqbXXwZMZnwA2dWEQeQ,180.111,0.937,-3.153
