name,artists,id,tempo,energy,loudness
Gone Days (feat. Ranasol),"Nhato, RANASOL",23FONShpDf2nyTvEdnHZA9,155.229,0.879,-3.696
For the best smile!,Clean Tears,1QHq3AGPAPogF102HfzokA,164.898,0.996,-3.14
アラビアンレスポンス (Breeze Remix),Clean Tears,0ZCUFIGexJum8rl5SYGuBe,150.003,0.982,-2.688
Circulation (Breeze Remix),Clean Tears,14oHW4jTDOAKQXMbHUtkPz,173.986,0.913,-3.85
impure (Reverberations3 Remix),Clean Tears,4XhQ8pORvG3ODjZ1HUhTiF,140.036,0.989,-3.926
1207,Clean Tears,4ETwL8pEyXpjMMIZ0Dn3rb,142.011,0.989,-5.557
Chemical inversion (Reverberations3 Remix),Clean Tears,1YDr4dGMupizJNHBpcDKKx,145.005,0.971,-5.572
Abandonment,Clean Tears,1bdj21g0nZ2KBVE0IKLp1j,174.02,0.943,-3.411
Tranquilizer,Clean Tears,7kRsfskUe3HuMyRyrmgqlx,140.003,0.979,-4.269
Rocca,Clean Tears,0kwpSk3f6brcYRCpTHu73h,150.015,0.919,-5.484
Far away (Album Edition),Clean Tears,7c02nVrWTYoePFhvdZhu3n,144.968,0.975,-6.283
Wing,Clean Tears,7otD0kqHgULRH0cNIgsRxu,141.993,0.951,-6.884
Tears of palm -Trance Remix-,Clean Tears,1qEuvkqYtcYge0HECuwzhJ,140.002,0.992,-6.957
Beyond the waves,Clean Tears,297QFIuE1cqVdYFWVQjIOo,144.966,0.983,-5.952
Far away,Clean Tears,2cWE1IWflNsoqg5GrtRyl5,144.968,0.975,-6.283
Elements,Clean Tears,7c8cnwUmMQij7uwiPggGKh,140.009,0.922,-6.496
Far away (3x Remix),Clean Tears,1XT9wgwkBFDZlQDbhtVcGv,140.01,0.997,-5.231
Crossroads (feat. 初音ミク),Clean Tears,7cjmJUPaYcKgpOkEyvOAnS,140.027,0.998,-3.418
Crossroads (Extended Mix) (feat. 初音ミク),Clean Tears,3U5doXy8J6uEJcr8kY9Yj6,140.0,0.997,-3.973
アルペジオ,Clean Tears,2XFyFUQF1p7dkTkdzEnOO0,140.01,0.997,-3.076
"Tears of palm (かめりあ's ""Retearing"" Remix)",Clean Tears,2ZalgvdiJ4r1a1MZ6J5I8W,170.024,0.865,-6.759
Beyond the waves,Clean Tears,5vk2TbRsILOKX7kruAOgiZ,144.966,0.983,-5.952
Soaring (Instrumental),Clean Tears,2ZQ8NJMBQfYemFD70fjne5,140.017,0.984,-4.949
