name,artists,id,tempo,energy,loudness
Dot to Dot (feat. shully),"Mameyudoufu, Shully",41DxWI9W4S5Zn7mokoRGKA,173.958,0.939,-4.824
V&K (feat. DJKatsuya),"PSYQUI, DJ-KATSUYA",6ufQt1iHJbHa72QVMGufd0,171.982,0.874,-5.06
Fluffy (feat. Nakamura Sanso),"Mameyudoufu, Nakamura Sanso",06S2BMmYOrQz0ZphTNC0TR,175.058,0.968,-4.424
Call My Name (feat. Yukacco),"Mameyudoufu, Yukacco",1yNe4j2WDaNR7p7inPzFhv,174.861,0.937,-4.848
Trigger,"Hyleo, Such",0Tdx0c0zBic7hUIgvr6Fkl,151.999,0.941,-5.171
Continue (feat. Megumi Takahashi),"tokiwa, Megumi Takahashi",3pH5tZesGisjCgZJEm9E3e,145.039,0.945,-3.332
illumination (feat. Yukacco),"Hyleo, Yukacco",34QoCsmCqQ1n4CRkcEr2qS,150.063,0.952,-4.187
Your voice so... (feat. such),"PSYQUI, Such",1dEdjxgkaPGhAJ6XvUKic2,176.227,0.903,-4.271
One by One (feat. KMNZ LIZ),"KOTONOHOUSE, Neko Hacker, KMNZ LIZ",69DpLuPaHTGtb5lH0kuoGv,170.019,0.921,-3.347
マシュマロ・マキアート,"KOTONOHOUSE, Yunomi, くいしんぼあかちゃん",2xi4xhc7uRXR2lLZwygWOe,170.003,0.97,-3.743
Dear,KATOMORI,66gB0KhAnty8LtGZXnnZEY,145.003,0.901,-3.505
Midnight grow (feat. mami),"Mameyudoufu, mami",01o7s0y4eyHG2TDzocbnNq,149.905,0.892,-4.205
Pastel Kokoro,"EmoCosine, 中村さんそ",3uTR54rm0vzNA6AaZKLScp,160.003,0.989,-0.887
Lockdown (feat. NEONA),"PIKASONIC, Tatsunoshin, NEONA",4oSJ1kLpOJvgB0FDilIdfO,175.065,0.886,-3.711
Euphoria (feat. Tsugumi Nagahara),"PIKASONIC, Tatsunoshin, Tsugumi Nagahara",38eGuLfzrE81M34CUZqv9D,174.974,0.858,-3.717
フリーフォール,Zekk,7uBZPcJpJQLF5nP5w3xjaN,180.07,0.987,-2.647
Cosmos,"Capchii, Megpoid",6UeTD7DdWJzl3U5IMc6B4k,179.994,0.95,-1.956
