name,artists,id,tempo,energy,loudness
outro-duck-tion!!,YUC'e,0goa2TYABbjpmngh2qBMGC,166.985,0.988,-1.732
From Zero (feat. Rika),"Neko Hacker, Rika",3azE5I7j0B7qcOq8Zr74Cb,160.021,0.943,-3.682
Fairyland,Elliot Hsu,0j6oiy4W5tANf23ciwIXqh,180.041,0.93,-3.613
Surf,Hyper Potions,10LpJJYns7Qc6POnyWJ14A,155.011,0.902,-4.578
星降る夜のアデニウ,"Yunomi, nicamoq",5sTbaLbmAnjAkwROiYyktu,160.018,0.975,-3.943
Shuwa*Shuwa Parfait,Nanahira,0tjGbehnu4hSi7S5j1GuuR,155.074,0.943,-2.491
Night Sky (feat. Mashilo & ichika),"Neko Hacker, Mashilo, ichika",3O7mnK6JeKEwMKM8uQ6uHI,155.01,0.906,-3.976
PUMP,YUC'e,0adpMk52noKN7rxBQIWLJ4,180.03,0.856,-5.01
わたあめパレード,YUC'e,5HzCBODkCWrr1casLMdNbg,165.078,0.898,-5.019
One by One (feat. KMNZ LIZ),"KOTONOHOUSE, Neko Hacker, KMNZ LIZ",69DpLuPaHTGtb5lH0kuoGv,170.019,0.921,-3.347
マシュマロ・マキアート,"KOTONOHOUSE, Yunomi, くいしんぼあかちゃん",2xi4xhc7uRXR2lLZwygWOe,170.003,0.97,-3.743
Charisma,Elliot Hsu,1pAbqGUiV6lQwofu1m31b3,160.024,0.978,-3.591
Bamboo Disco (feat. TORIENA),"Yunomi, TORIENA",34x3r65wXDQNXdMeDmDWbu,154.009,0.909,-4.132
Maboroshi,"Hyper Potions, Synthion, MYLK",5euHZw4X82pmE12LUP7Zam,169.981,0.97,-1.639
ロボットハート,"Yunomi, Kizuna AI",667eE4CFfNtJloC6Lvmgrx,200.066,0.933,-2.639
Future Cαndy,YUC'e,5V8FkfpBLQvLyKm8qzJXsi,179.853,0.973,-3.423
Sprout (feat. shully),"colate, Shully",7396Fqi6HPidDXjrpEf7rw,150.043,0.912,-2.451
東京シュノーケル,"Yunomi, nicamoq",4IDktPgl61QHXnOscz9Psd,160.014,0.955,-3.418
Blossom,Synthion,2WethMmZCuMQM5JYmpN07p,174.97,0.958,-2.142
Expedition,"Hyper Potions, Nokae",6MyLqKVEnNMB6UdR6n6lEZ,159.978,0.981,-3.697
