name,artists,id,tempo,energy,loudness
Decisions,"Flite, Justin Hawkes",0X9JtSp7JDTfFE65lCbIxX,174.03,0.973,-1.19
Fading Fast,Keeno,6Lzxe1Od5pg3MtKiHtAWzr,174.991,0.92,-4.358
Bleary-Eyed,Keeno,1R9ZNynMGkEo2l4MwNufGF,175.027,0.892,-5.217
Out Of The Water,"BCee, Makoto",3pZNAU4GZztpJE8BOdhpb0,174.03,0.875,-3.83
Meet Again,"Etherwood, Charlotte Haining",7wkpF9WoMdMR8XZPpu3lTK,173.721,0.92,-5.188
Be There,"DJ Marky, Pola & Bryson, IYAMAH",6Keg029MW2OzYWZrt0kQFh,173.912,0.909,-1.664
Settle Down,"Makoto, L-Side",3HrYBjMhKco2izd1cC7rJ9,173.989,0.869,-3.545
Ursus,Kelle & Juha,0MgOwjSYWoZvAvRmI1frKX,172.055,0.855,-4.573
Somewhere Back There,Random Movement,2swpkJwi0UGrMMkMn0MUFa,171.936,0.914,-4.763
Little Bit Lighter - Instrumental,"BCee, Charlotte Haining, Etherwood",00YzhjbTJZQTLRLsLkz6EN,174.017,0.884,-4.513
Struggle,Wingz,6JLlwFcvK5mvl3vl4lQO4E,171.965,0.895,-4.929
Darling,En:vy,7FnLPevtUlNVQaa90BHMxA,172.035,0.927,-3.894
Is This Real - Zero T Remix,"Artificial Intelligence, Zero T",2ODdEGZJBLq3MtuYyLacDn,174.036,0.853,-4.096
Jazz Type Thing,"Zero T, Onj",1c63LcXUsmIYpBUnYSw83J,174.04,0.927,-4.239
Fading Fast,Keeno,5rIlZ6ixLF6qU9ioJjzq8O,174.988,0.92,-4.358
