name,artists,id,tempo,energy,loudness
Cataclysm,"Au5, Crystal Skies",7Bka7BItYbiCQOSbJNx0ni,140.028,0.867,-5.859
About Me,"Koven, ROY KNOX",5hiatfPmopoExZRZ2O1g5S,180.166,0.943,-2.044
Have Fun,Rameses B,4JdsnIZdnrkIU9emqiEhTo,173.979,0.965,-4.909
Ready Now,"Afinity, ary kemler",640Mqt7rGD8xjq0H4f9ASQ,145.212,0.886,-3.707
Solar,NERO,61jTmmE6BNfmAFZ8zrBttX,155.963,0.932,-3.994
Forever Now,"DVRKCLOUD, Vaance, Ines Rae",4mKr1vziKTFOHjQknnHjUS,144.872,0.914,-4.112
Above It,"Man Cub, B-Sharp",2VEyqz4tSM2PAC4XUNq6sP,140.048,0.946,-3.958
Memories,Anki,7jvlY4fBkXckZ49YW7Smhg,173.931,0.893,-5.171
In The Echo,Koven,3umnS58B88O7O7tW2pIfqw,174.103,0.985,-0.083
Flow,Slippy,1acRf3oZ90iRh9KYT1UTX0,156.061,0.856,-4.207
