name,artists,id,tempo,energy,loudness
"Heroes (From ""My Hero Academia"")",NateWantsToBattle,1hG6CJ2K7M1w2pqxClRZXi,198.047,0.944,-3.623
Biohazard,Crusher-P,3EUPo9glAy3ab6OwuGzecF,140.037,0.922,-2.357
The Day,NateWantsToBattle,0lvT8MtEShxGe8jybc6cnr,186.209,0.925,-4.047
Last of Me,CircusP,2pRAUlbHnLpfmBjKWmbiVA,168.869,0.856,-5.712
Oracion,"dj-Jo, Lu",3swKk7wmNfrdVOO0OGzVC9,166.052,0.864,-3.374
Kaibutsu - Remix,"dj-Jo, Ririsya",409AaNFHzQA2zTh5XZv7tJ,169.988,0.87,-0.962
Hello To Dream - Extended,"dj-Jo, Takara",7bNuwOF15DVBAnYkfIclTV,160.045,0.88,-3.242
Again,Crusher-P,4v9ML498AaiaIvc6RWn8Mh,144.955,0.9,-6.435
Boku no Sensou (Full Version) [Remix],dj-Jo,5KoYG8IKbxsgoQj4AkD2xD,144.056,0.933,-1.466
Kyouran Hey Kids!! (feat. YOHIOloid) [dj-Jo Remix],dj-Jo,4lO5iyiRWCzvIebgYm0sYR,141.95,0.935,-3.135
Biohazard,Crusher-P,4bsXGdbbRXCjLtiQSLJPV3,140.037,0.922,-2.357
Rise,"dj-Jo, Romix",0CHkoEMy4O0UUfDNW58eLI,165.048,0.912,-2.269
Shinzou wo Sasageyo,dj-Jo,0IcSZbggcKJ9duNEdK9J7T,159.977,0.889,-1.852
マジカルシンメトリ(Extended) feat.Anon Kanon,tilt-six,5S336zqxmqdItHiZyCnnvp,141.008,0.985,-2.067
夜明け前のレゾナンス feat.HATSUNE MIKU,tilt-six,5kYa1602VmFg2Auj7JpnTK,140.978,0.983,-2.461
エレクトロサチュレイタ(PandaBoY's ''Electro Winter'' Remix) feat.HATSUNE MIKU,tilt-six,1Z5ESkg8PYQGxmCehaB3i8,140.964,0.963,-1.993
ホシゾラレイン,tilt-six,3Hn92kevUMQrfNI88cMbUf,142.963,0.903,-4.201
Kimi No Shiranai Monogatari (feat. Hatsune Miku) [dj-Jo Remix],dj-Jo,2I9WCCGZvrQn5XEzBbzcR1,165.048,0.899,-4.019
DARKNESS BEFORE THE DAWN!,"Caleb Hyles, Lacey Sturm, Wolves At The Gate, Judge & Jury",7fYPGeh5sIKyH2LXTZBTP6,165.0,0.992,-3.262
Break Through it All,"RichaadEB, Gilly",5JB8OsE0VJciQ6DsOm5rnX,195.008,0.974,-2.407
"Ultimate Battle - Ka Ka Kachi Daze (From ""Dragon Ball Super"")",CyYu,4g9UmjhXsi2eYudenqpM77,170.006,0.973,-4.88
Kimi No Sei - Remix,"dj-Jo, Yune",2iW4CwGBc7btg94RjHPAYe,174.052,0.895,-1.444
