name,artists,id,tempo,energy,loudness
See It Coming,Berg,6UffFtGJyLC5JLWtHV4XTw,140.016,0.927,-4.938
Psychedelic Experience,Ranji,2xfahwqTVxKWMMgFMSETST,140.003,0.932,-5.968
Symbiosis,Jilax,5wtUmDnAhBZ79Po5eaQUW3,140.047,0.862,-5.511
Keleno,"Ranji, Pondora",3167iOe6WMN5VgukbH8EXw,142.001,0.853,-5.542
Faya,"WHITENO1SE, No Comment, Richie Loop",0qPomrBI5l7I7txysyfQut,140.035,0.903,-4.776
Demolution,InterSys,49J3tm5PjGBRDx0gbj8pRY,144.991,0.936,-4.232
Ecstasy of Gold - P.R.O.G. Remix,"WHITENO1SE, P.R.O.G.",12RsxZLU2oVpHLu9yhNosu,140.023,0.897,-5.826
Bansuri,Electric Universe,5PTwd54TX8VWHOD2UgR32f,144.994,0.963,-4.078
Ancient Aum,"Electric Universe, Ace Ventura",6n2OgfyvY0MuwFphEywfgz,141.988,0.928,-5.377
The Highest Mountain,"Astral Projection, Oforia",16ubCJqDB9Zbi51LBm10PK,142.996,0.962,-6.056
