name,artists,id,tempo,energy,loudness
V&K (feat. DJKatsuya),"PSYQUI, DJ-KATSUYA",6ufQt1iHJbHa72QVMGufd0,171.982,0.874,-5.06
From Zero (feat. Rika),"Neko Hacker, Rika",3azE5I7j0B7qcOq8Zr74Cb,160.021,0.943,-3.682
Your voice so... (feat. such),"PSYQUI, Such",1dEdjxgkaPGhAJ6XvUKic2,176.227,0.903,-4.271
Night Sky (feat. Mashilo & ichika),"Neko Hacker, Mashilo, ichika",3O7mnK6JeKEwMKM8uQ6uHI,155.01,0.906,-3.976
Looking for a New Adventure,"Camellia, Nanahira",3cRIBzUBYkELL2sqXgHP8s,175.034,0.97,-2.364
You Make My Life 1UP - x127 Long ver.,"Camellia, Nanahira",13NJanGURIz7PP1oZGCjii,180.007,0.978,-1.731
"senpai, notice me! - YUC'e Remix","Camellia, Nanahira",3BohG9TOEAiFXrtH0AeQit,159.979,0.966,-3.224
フリーフォール,Zekk,7uBZPcJpJQLF5nP5w3xjaN,180.07,0.987,-2.647
Light it up,Camellia,3MA7N8ALJzg4I696jxdk8d,174.931,0.943,-3.828
Exit This Earth's Atomosphere,Camellia,0Ww4xWSspmcAO6N8zzaR3d,170.082,0.952,-2.58
Extra Mode,USAO,2ogHqV1tITu82cAGD2wl61,194.984,0.978,-4.036
