name,artists,id,tempo,energy,loudness
Holidays in the Sun,Sex Pistols,2e4RcQohKWo8oZIUfjxiGo,147.9,0.979,-4.791
Brand New Cadillac,The Clash,7aN5Dd1mTrZei6Tt6ZhzI2,151.586,0.875,-6.234
Tommy Gun - Remastered,The Clash,3ZhMxNCJcoYBj2wrO4VU3l,161.961,0.937,-5.737
No Feelings,Sex Pistols,4GtIKUB1Q5O65ofahYPRfX,164.291,0.961,-5.743
The Wait - 2006 Remaster,Pretenders,2ktpb2ybPiAhyFJYUYeaK1,187.405,0.852,-6.447
Don't Stop Me Now - Remastered 2011,Queen,7hQJA50XrCWABAu5v6QZ4i,156.271,0.865,-5.277
R.O.C.K. In The U.S.A. (A Salute To 60's Rock),John Mellencamp,0lqfBvf1Gqmmt3l5Qeirlm,164.018,0.958,-4.009
Runnin' Down A Dream,Tom Petty,5yAu4njFSdM47dfsTkQPZ2,169.798,0.956,-6.371
Hardwired,Metallica,7myke8Id4WyKFlWcRBJdIF,185.364,0.991,-3.126
Rock Out,Motörhead,4cEBku3RXce9XiDlNU6WaU,142.981,0.989,-5.327
