name,artists,id,tempo,energy,loudness
Dystopia,"Pixel Terror, JayKode",42RtvgUX2EykuJTUw582FC,150.059,0.979,-2.915
Beat Down,Bossfight,6GaB23qYZMlEw3jyKcR232,150.058,0.989,-2.389
Breakpoint,"Pixel Terror, KULTIVATE",0suG793uHR6xZo8fpW6k3u,144.92,0.926,-3.118
Purple People Eater,Pegboard Nerds,53f686RDklf4tjm8XsEuJb,159.966,0.963,-3.281
Surf,Hyper Potions,10LpJJYns7Qc6POnyWJ14A,155.011,0.902,-4.578
Maboroshi,"Hyper Potions, Synthion, MYLK",5euHZw4X82pmE12LUP7Zam,169.981,0.97,-1.639
Velocity,meganeko,1ODEuo1QE9alDUNPOEcUBi,173.931,0.885,-5.921
Enigma,"Pixel Terror, Aviella",0X5L64QO8VX9nUgI7Evti9,142.047,0.917,-4.478
Geometrical Dominator,Waterflame,3BlqssusI6IIfjznD4MQf6,148.002,0.958,-6.475
Be Gone Mr. Gawne,Bossfight,2MPMRrUUKjwyYP1M6cStpZ,167.952,0.968,-2.572
Burning Sands,Boom Kitty,27HzWyhS60yKqF4LC7dboA,142.022,0.984,-3.08
Epsilon (drey_o3o Remix),"meganeko, drey_o3o",6loF2QgSpUNxfimTVc0VKl,174.564,0.991,-3.963
Expedition,"Hyper Potions, Nokae",6MyLqKVEnNMB6UdR6n6lEZ,159.978,0.981,-3.697
