name,artists,id,tempo,energy,loudness
Do you love me? (feat. Rntl),"Kakeru, Rntl",5Od3SflMNf3Rrk5cOgDcmj,149.897,0.955,-1.596
Heroine - nakotanmaru ver.,"nakotanmaru, PIKASONIC",6wxxsdSsUmfXUwVwocEc8D,176.053,0.922,-2.912
Shot By Both Sides,Magazine,5zuQyE2dJWjGTbdpaMxmMA,168.46,0.862,-5.171
Golden Love - Mr. Frenkie Remix,Guru Groove Foundation,1qmxg0bBJj2ZIJS65ZqfOk,171.978,0.907,-3.704
RE:Again,"YZYX, Crusher-P",0eY1nWCNy3PaA2XhjhTBQF,140.002,0.916,-5.012
Counting on You,"ETHEN, Josh Rubin",62SAUf1yv74SOQqck1zNXb,144.031,0.945,-1.805
Higher,SteveUnordinary,3D3kfqa6jHMl6K7RG64V37,150.054,0.926,-4.377
Tower Of Babel,"TRTLE, Trifactor",0bNtI5NkVDJN17z2slUNll,150.01,0.854,-3.059
Catch These Hands - Remix,"JIMMY ROCK, KJ-52, Pettidee",3K7zvRw4Wg9afWGfnDU7vM,150.088,0.952,-4.875
Friday Night Praise,Trampolines,1M0tBAyam06xRUoHH2lSmv,149.925,0.882,-4.644
2077,Konrad Celinski,44qrDNwRhTEiMhS3KTsuPE,192.079,0.965,-4.381
Closure,Flowen,5uMPY09nDa6FyOQq8Njw5V,160.015,0.894,-3.868
Slide da Treme Melódica v2,"DJ FNK, Polaris",6xBpb9zNWlRHTslOAe6kXF,140.025,0.897,-0.522
EI DO SENSACIO!,princce,2vbl2mqgwZCPqiYjn3MPhS,140.007,0.949,-4.861
My Doctor,Sevencolors,7qkwt8YQ1aYmHBTh88GiKT,146.999,0.988,-2.361
Go To The New World (feat. 初音ミク),Tomoharu Moriya,14xHwO8nucrs51WOnlllr1,165.065,0.948,-3.643
I Love The Way (feat. LEVi & Toddla T),"goddard., LEVi, Toddla T",47LjmQWMlFYmoVBTYiEFW7,174.601,0.933,-3.759
Miss U,goddard.,7zkIBL3GmwmggBLTnHwLa9,175.048,0.856,-3.731
A Little More - Friendly Foe Remix,"JUSTDEE, Friendly Foe",2gR7O5lmQB5yBWCPiAtrXJ,174.001,0.965,-2.315
Follow The Sound,"Matrix, Futurebound, Matrix & Futurebound",3P9HlbXJ86ZfJzz99O9lfO,174.027,0.982,-2.557
Energy In My Town,Issey Cross,4VNOMgmLlpBEcRIJcI0bO5,171.915,0.947,-1.144
Ubiquitous dB,ユナ (CV:神田沙也加),4QbDafBvBlc0FYgMHvWWo1,142.01,0.95,-4.035
I Am Unbreakable,Niklas Johansson,49Y4yIucJsgXzMe9SCrfLG,170.025,0.906,-6.268
猿飛,MUSASHI PROJECT,5LJN0WFrB3CTUZXrRgM3Qe,143.054,0.865,-6.651
Twilight,Zero Hero,2Huh30i3Fl1qpWUSTkg48A,160.032,0.937,-4.769
Stuck In My Head,"Trip-Tamine, Johnny Carrera, Brandon Hombre",3sHDHHKbdQPADaejmZp1oP,145.025,0.927,-6.01
Extra-Terra,GRAViiTY,7JapyGlsbu7VHYnIHi3SpX,169.997,0.888,-2.757
Rockafaster,"Fatality, Nable, Pop Dog",6LLAMgc8Y8li44oDDxkFVi,180.023,0.924,-5.016
Around the Stars,"Outsiders, Faders",5zEkJhlypnzAjacqTemCea,145.986,0.976,-5.669
Psilocybin - Satori Remix,"Visua, Satori",1rPqdOD1EDyGTGadHnepgD,140.016,0.979,-5.348
Dusk,Slaine,2py2zs05jAULXnOG2hoazG,171.982,0.904,-4.375
Gerçekten Iğrenç Bir Hayat,Mezar Turizm,3HseMODi6niOSIXeh4oexA,179.849,0.864,-3.189
Resplendent,IEU5,2Htfp5QDx54RaWmvNrKZAn,174.039,0.873,-6.81
Under My Skin,Rezilient,7IuzNjSMTgoZGd2PPFgKH7,174.018,0.944,-4.069
Never Played,Weynorx,6EYitzpJt3QPe4lmITZBsG,173.987,0.912,-5.679
Red Slogan,Echo Oasis,41chr9BH5daDinJZ2bkEki,169.096,0.912,-4.285
Did You Know,"DA TU, Shaki",5mC7bhwVvw4ExAcZzombYw,174.01,0.927,-3.334
Flicker,Zenith,5JX5doCTQJ9tQsLp9FJIYa,171.992,0.892,-6.789
SET ME FREE!,"KXINGXCLUTXCH, RULZ",6goo4Hyda7sfyxdDSJ58os,152.177,0.969,-4.082
Soul Fire,"ChaFra, ThreeSXTN",34fkoUrNVVPu6m7udMsegM,145.041,0.947,-0.794
Here I Am to Worship,Juan1Love,5bMJGqLc2ldiq8EdJma1mh,195.104,0.865,-5.593
LOVE,Pembers,6GqjXfsR3tWYUCeAclNgt1,180.083,0.986,-3.456
Impatience,村山☆潤,7hr7BU2Hr5ESM5Vp5OdUPZ,172.032,0.937,-5.669
