name,artists,id,tempo,energy,loudness
Kiseki Saemo,Omoi,0fGosbdwQLBPhET290MmYe,180.943,0.985,-1.131
Biohazard,Crusher-P,3EUPo9glAy3ab6OwuGzecF,140.037,0.922,-2.357
snooze (feat. SHIKI),"wotaku, SHIKI",2tGC49JU9byQT0wXzIhYA7,149.976,0.973,-3.242
ラグトレイン,稲葉曇,6v8fX5yXd15H3xSyvVvJ5e,147.047,0.947,-4.517
Teo,Omoi,0avbIGWVb4n7CcbomSEogt,185.14,0.972,-1.909
Again,Crusher-P,4v9ML498AaiaIvc6RWn8Mh,144.955,0.9,-6.435
For the best smile!,Clean Tears,1QHq3AGPAPogF102HfzokA,164.898,0.996,-3.14
Biohazard,Crusher-P,4bsXGdbbRXCjLtiQSLJPV3,140.037,0.922,-2.357
アラビアンレスポンス (Breeze Remix),Clean Tears,0ZCUFIGexJum8rl5SYGuBe,150.003,0.982,-2.688
Circulation (Breeze Remix),Clean Tears,14oHW4jTDOAKQXMbHUtkPz,173.986,0.913,-3.85
impure (Reverberations3 Remix),Clean Tears,4XhQ8pORvG3ODjZ1HUhTiF,140.036,0.989,-3.926
1207,Clean Tears,4ETwL8pEyXpjMMIZ0Dn3rb,142.011,0.989,-5.557
Chemical inversion (Reverberations3 Remix),Clean Tears,1YDr4dGMupizJNHBpcDKKx,145.005,0.971,-5.572
Abandonment,Clean Tears,1bdj21g0nZ2KBVE0IKLp1j,174.02,0.943,-3.411
Tranquilizer,Clean Tears,7kRsfskUe3HuMyRyrmgqlx,140.003,0.979,-4.269
anger [Extend-RMX],Tripshots,5y7O891tLcJc5Sdk1z4lTP,140.007,0.95,-5.89
Extended [Sirius RMX],Tripshots,7c9Jeh3bwPKINbnQ5sBSAq,144.987,0.998,-4.713
Rocca,Clean Tears,0kwpSk3f6brcYRCpTHu73h,150.015,0.919,-5.484
Far away (Album Edition),Clean Tears,7c02nVrWTYoePFhvdZhu3n,144.968,0.975,-6.283
Wing,Clean Tears,7otD0kqHgULRH0cNIgsRxu,141.993,0.951,-6.884
Tears of palm -Trance Remix-,Clean Tears,1qEuvkqYtcYge0HECuwzhJ,140.002,0.992,-6.957
Beyond the waves,Clean Tears,297QFIuE1cqVdYFWVQjIOo,144.966,0.983,-5.952
Far away,Clean Tears,2cWE1IWflNsoqg5GrtRyl5,144.968,0.975,-6.283
Elements,Clean Tears,7c8cnwUmMQij7uwiPggGKh,140.009,0.922,-6.496
Far away (3x Remix),Clean Tears,1XT9wgwkBFDZlQDbhtVcGv,140.01,0.997,-5.231
ワンダラーズ,ATOLS,7fRc0Y1LGTgachp16vZIuo,152.025,0.955,-6.518
Crossroads (feat. 初音ミク),Clean Tears,7cjmJUPaYcKgpOkEyvOAnS,140.027,0.998,-3.418
Crossroads (Extended Mix) (feat. 初音ミク),Clean Tears,3U5doXy8J6uEJcr8kY9Yj6,140.0,0.997,-3.973
アルペジオ,Clean Tears,2XFyFUQF1p7dkTkdzEnOO0,140.01,0.997,-3.076
マジカルシンメトリ(Extended) feat.Anon Kanon,tilt-six,5S336zqxmqdItHiZyCnnvp,141.008,0.985,-2.067
夜明け前のレゾナンス feat.HATSUNE MIKU,tilt-six,5kYa1602VmFg2Auj7JpnTK,140.978,0.983,-2.461
エレクトロサチュレイタ(PandaBoY's ''Electro Winter'' Remix) feat.HATSUNE MIKU,tilt-six,1Z5ESkg8PYQGxmCehaB3i8,140.964,0.963,-1.993
Cosmos,"Capchii, Megpoid",6UeTD7DdWJzl3U5IMc6B4k,179.994,0.95,-1.956
ホシゾラレイン,tilt-six,3Hn92kevUMQrfNI88cMbUf,142.963,0.903,-4.201
"Tears of palm (かめりあ's ""Retearing"" Remix)",Clean Tears,2ZalgvdiJ4r1a1MZ6J5I8W,170.024,0.865,-6.759
Beyond the waves,Clean Tears,5vk2TbRsILOKX7kruAOgiZ,144.966,0.983,-5.952
Soaring (Instrumental),Clean Tears,2ZQ8NJMBQfYemFD70fjne5,140.017,0.984,-4.949
shiningray(Starving Trancer Remix),164,6qiTAyIpa9Eod5aP6BjR1C,144.005,0.983,-3.905
Rora - BWV 999,AVTechNO!,2VApEaoE15QIoRikEFmUqW,198.088,0.921,-6.984
boku-boku,AVTechNO!,67tlnG5rFhTOOzUEFXdLO3,179.989,0.979,-6.103
