name,artists,id,meets_criteria,reasons,tempo,loudness,energy,mode,playlist
How Far,Tasha Layton,1gIFVl1aHTD5A3TPKtOTVC,False,Tempo: 118.9 BPM; Energy: 0.83,118.927,-5.013,0.827,1,Christian
I Believe It Now (Single Version),Sidewalk Prophets,6kc0XFXTEaBWCEXZnQPFIc,False,Energy: 0.76; Minor mode,151.995,-5.027,0.76,0,Christian
Resurrecting (Studio Version),Elevation Worship,4m3rBNZbDBZ5adk4EnDi4s,False,Energy: 0.66,148.051,-4.61,0.657,1,Christian
Amen,for KING & COUNTRY,5aHZnvy8EqhViyoJo971Wy,False,Tempo: 90.0 BPM; Loudness: -8.7 dB; Energy: 0.47,90.001,-8.718,0.469,1,Christian
Fear No More,Building 429,2dRkBASYztFHahOf5GNeQ9,False,Tempo: 95.0 BPM; Energy: 0.79,94.971,-6.467,0.786,1,Christian
Never Let You Down,"Hawk Nelson, Hunter and Tara",1IUvFeyeDuMQcBEbEkBnto,False,Tempo: 124.9 BPM; Energy: 0.74; Minor mode,124.909,-5.908,0.74,0,Christian
Say I Won't,MercyMe,2FUtrpctr6v6Ae8StKAKqa,False,Tempo: 120.0 BPM; Energy: 0.75,119.987,-6.442,0.75,1,Christian
My Jesus,Anne Wilson,0KNvJzxdbslBddN27BEhfm,False,Tempo: 76.0 BPM; Energy: 0.64,76.001,-5.567,0.644,1,Christian
Believe For It (feat. Lauren Daigle),"CeCe Winans, Lauren Daigle",0tlJgLE8ddOq2L2k6YBc2y,False,Energy: 0.64,157.167,-6.231,0.643,1,Christian
Come What May,We Are Messengers,5zpuYdCR4Tmm7zv6wYgqMK,False,Energy: 0.65,173.207,-5.935,0.645,1,Christian
Miracles,Colton Dixon,7u67t6j872bK1tDbMUjnMz,False,Tempo: 96.5 BPM; Energy: 0.72,96.48,-6.916,0.718,1,Christian
Scars in Heaven,Casting Crowns,2qg7U5mbHDFTXNKvPNF0IZ,False,Tempo: 79.7 BPM; Loudness: -9.9 dB; Energy: 0.36,79.748,-9.862,0.356,1,Christian
The Goodness (feat. Blessing Offor),"TobyMac, Blessing Offor",4xOo4DFiTSSfefD63Ya6UK,False,Energy: 0.61; Minor mode,147.985,-6.157,0.61,0,Christian
The Breakup Song,Francesca Battistelli,5U4zBRfVdqaL1kOULNtZ1T,False,Energy: 0.52,173.688,-5.277,0.521,1,Christian
RELATE,for KING & COUNTRY,1ZO99OrjupdwV1MWfgmihI,False,Tempo: 100.0 BPM; Loudness: -8.6 dB; Energy: 0.57,100.008,-8.639,0.566,1,Christian
In Jesus Name (God Of Possible),Katy Nichole,3gNy667YREH2roPybRrbPo,False,Energy: 0.71,141.74,-5.093,0.706,1,Christian
God Is In This Story,"Katy Nichole, Big Daddy Weave",33aQwepAntQvwsIk8rFiB4,False,Energy: 0.64,146.002,-3.64,0.644,1,Christian
In Jesus Name (God Of Possible),Katy Nichole,18lQZaMVdNa4qwbi3tHPKP,False,Energy: 0.71,141.74,-5.093,0.706,1,Christian
Speed of Soul - Vocal Version,Ghost Rider,5yYCQatydYrqv6igkbOV21,False,Tempo: 138.0 BPM; Loudness: -7.4 dB; Energy: 0.54; Minor mode,138.027,-7.37,0.535,0,Audial Stimulants
Nana,Geoxor,5QWAgmafr97EGMDRUTtwOX,False,Tempo: 127.9 BPM,127.897,-3.806,0.884,1,Audial Stimulants
Lucid Dream,"Panda Eyes, Geoxor",3WdSVVburmx7JKGXuOGB1D,False,Tempo: 112.0 BPM,111.995,-5.651,0.894,1,Audial Stimulants
See It Coming,Berg,6UffFtGJyLC5JLWtHV4XTw,True,All criteria met,140.016,-4.938,0.927,1,Audial Stimulants
Shadows,Neelix,4QWCv4dzTrCNhaAUdrGLsj,False,Loudness: -8.1 dB; Energy: 0.39,142.062,-8.11,0.388,1,Audial Stimulants
Come Alive,"Ranji, Berg",1CzsRMu6KEoONK63yiFZXt,False,Tempo: 138.0 BPM; Energy: 0.76; Minor mode,138.049,-5.935,0.756,0,Audial Stimulants
Your Secrets - Extended Mix,"Ranji, Ghost Rider, Reality Test",5Y8eJ9sJKN1I0i5dlANMKT,False,Tempo: 138.0 BPM; Loudness: -9.4 dB,138.002,-9.404,0.861,1,Audial Stimulants
Fogo,"Ranji, Bizzare Contact",0NM0vt5tq3kjufvUjFIjaj,False,Energy: 0.85; Minor mode,140.014,-6.203,0.848,0,Audial Stimulants
Experimental Music,"Ranji, Upgrade",1l4NS1dWqXqzCefT7XSDrX,False,Minor mode,140.006,-6.568,0.901,0,Audial Stimulants
Psychedelic Experience,Ranji,2xfahwqTVxKWMMgFMSETST,True,All criteria met,140.003,-5.968,0.932,1,Audial Stimulants
Like A Disease - Static Movement Remix,"Ranji, Epic, Static Movement",2lLbERZELEY15NsMd2ZcMc,False,Minor mode,140.008,-6.633,0.851,0,Audial Stimulants
Brain Capacity,"Ranji, Mind Spin",1WF3JTPlfNDxMxIu5ojMXX,False,Tempo: 140.0 BPM; Minor mode,139.999,-6.127,0.973,0,Audial Stimulants
Change,"Ranji, Unseen Dimension",4r8y5qQfilmE8UlHDSFwxE,False,Tempo: 138.0 BPM; Loudness: -8.8 dB; Energy: 0.80,137.992,-8.848,0.797,1,Audial Stimulants
All Around Us,"Neelix, Durs",4EPC2GPKN8RfuAMc6NBrC2,False,Tempo: 140.0 BPM; Loudness: -9.9 dB; Energy: 0.56; Minor mode,139.991,-9.883,0.563,0,Audial Stimulants
Lay Me Down,"Ranji, Ghost Rider, Berg",3GKN5PYjlS7baPtrbdLtev,False,Tempo: 138.1 BPM; Loudness: -7.7 dB; Energy: 0.68; Minor mode,138.079,-7.685,0.68,0,Audial Stimulants
Come Close,"Vini Vici, Neelix, MKLA",71aoIeMlKuQdrkHljBf0nU,False,Tempo: 138.0 BPM; Energy: 0.78; Minor mode,137.982,-5.443,0.775,0,Audial Stimulants
Everyday Rockstars,"Vini Vici, Ranji, Halflives",6WYZaM1aHB5Y9QhmG1oWNn,False,Tempo: 128.4 BPM; Minor mode,128.421,-6.81,0.881,0,Audial Stimulants
Make A Move,"Berg, Major7",1KLjKHvh1HerSJH9cnxXNn,False,Minor mode,140.036,-5.686,0.928,0,Audial Stimulants
Internal Kombustion,InterSys,6Q2T04M32GomvevRUFYgQQ,False,Minor mode,144.995,-6.407,0.858,0,Audial Stimulants
Fear - Sped Up,Hensonn,5AiB3hKn9mOPSJQzAwHz4T,False,Tempo: 127.8 BPM,127.778,-5.14,0.872,1,Audial Stimulants
Flare - Sped Up,Hensonn,4mx8c080rSBKbt6p5WnkI8,True,All criteria met,170.325,-2.579,0.941,1,Audial Stimulants
Hard Like A Drum (Rebugs Remix),"Naturalize, Rebugs",4p7DV5IqRwYjId1fmLcSju,False,Energy: 0.76,140.038,-6.857,0.763,1,Audial Stimulants
RAGNAROK,"Chi X, SLOWYMANE",1sWb35nydLCjD71JGURDEv,False,Tempo: 126.0 BPM; Energy: 0.60; Minor mode,125.989,-5.448,0.604,0,Audial Stimulants
Slapper - Fast & Furious: Drift Tape/Phonk Vol 1,"DVRST, Fast & Furious: The Fast Saga",4Zf7vu8xsZeqOvel5fqyEK,False,Tempo: 90.0 BPM,90.0,-5.408,0.977,1,Audial Stimulants
LAND OF FIRE,Kordhell,4aYamw19Hloc6hQlJwWM1y,False,Minor mode,149.968,-2.524,0.952,0,Audial Stimulants
|BONKERS|,staplegun,2G23H0snYYKYqRlyFvVObS,True,All criteria met,148.027,-6.47,0.946,1,Audial Stimulants
Swaggin' at the Partment,Ghostface Playa,0eCwAiq4qzQJJgQVaqUaCN,False,Tempo: 92.6 BPM; Minor mode,92.571,-4.832,0.948,0,Audial Stimulants
SHOOTERS,FORGOTTENAGE,5hJewESdjToYG75xQGXyJy,False,Tempo: 120.0 BPM; Minor mode,119.991,-4.584,0.884,0,Audial Stimulants
Murder In My Mind,Kordhell,6qyS9qBy0mEk3qYaH8mPss,False,Tempo: 120.0 BPM,119.966,-0.514,0.972,1,Audial Stimulants
MOZART PHONK,"NUEKI, TOLCHONOV",4uA4FfwW15P8PguZ1uOlpl,False,Tempo: 118.0 BPM,118.049,-2.985,0.914,1,Audial Stimulants
Live Another Day,Kordhell,34lfu3S4fIcKZRNXzbdbo7,False,Tempo: 115.0 BPM,115.005,-1.321,0.981,1,Audial Stimulants
DYNAMIC,SHADXWBXRN,3qVSfd3Z2fmJKfHZeOweyQ,False,Tempo: 120.0 BPM; Minor mode,120.046,-0.479,0.973,0,Audial Stimulants
NEON BLADE,MoonDeity,0iUrxveyNUBfj0cqjYEijt,False,Tempo: 95.0 BPM,94.999,-2.169,0.996,1,Audial Stimulants
INCOMING,MC ORSEN,4h3KlpOEXS6FxIpab6EKlf,False,Tempo: 125.0 BPM,124.976,-5.467,0.876,1,Audial Stimulants
WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1,"TWISTED, Oliver Tree",5Zlb01Jcn0Ld49zazzZJSB,False,Tempo: 139.9 BPM; Loudness: -7.9 dB; Energy: 0.60; Minor mode,139.88,-7.887,0.601,0,Audial Stimulants
help urself,HXI,54ggxbEopZwQ20zurJiHSD,False,Tempo: 82.4 BPM; Energy: 0.71,82.425,-1.374,0.708,1,Audial Stimulants
RAVE,Dxrk ダーク,01kfSdF9zfcDLri5sSWEoL,False,Tempo: 119.9 BPM; Energy: 0.75,119.918,-6.06,0.748,1,Audial Stimulants
BULLET,FORGOTTENAGE,4bMLRF2dnTS0mPJTKp5vo7,False,Tempo: 125.0 BPM,125.047,-3.381,0.867,1,Audial Stimulants
Phonky Tribu,Funk Tribu,7aIb17DMLcOhLJIc9vF6Aa,False,Loudness: -7.7 dB; Minor mode,159.984,-7.746,0.873,0,Audial Stimulants
WAKE UP!,MoonDeity,4B8gtpBuEtU9XUizl6BK2W,False,Tempo: 125.0 BPM; Energy: 0.62,124.978,-4.626,0.617,1,Audial Stimulants
FIGHT CLUB,"MoonDeity, EL$E",2KOR0FNI6I9OgSH0w59oCI,False,Tempo: 109.1 BPM; Loudness: 1.1 dB,109.135,1.099,0.9,1,Audial Stimulants
SUPERIOR,"FXRR, Fyex",5ZBIcXCuSKMbVEImXkReA8,False,Energy: 0.66,140.072,-4.725,0.661,1,Audial Stimulants
GigaChad Theme (Phonk House Version) - Sped Up,g3ox_em,23Ax0HD24WJH0GALIsqZ8H,False,Energy: 0.54,153.933,-5.758,0.536,1,Audial Stimulants
Virtual,Geoxor,7jbNy5H24LJi6e7aUJGBdg,False,Tempo: 128.0 BPM,128.013,-4.696,0.885,1,Audial Stimulants
Keep You,"The Tech Thieves, One True God",79qOs49qSotfX46OGByR0M,False,Tempo: 104.0 BPM; Energy: 0.70; Minor mode,104.009,-3.146,0.704,0,Audial Stimulants
Saviour,"Hoaprox, YUAN, Haneri",5Ke5H0sjY4or70sK24HUYM,False,Minor mode,149.913,-4.076,0.862,0,Audial Stimulants
I Can't Stop,Flux Pavilion,5WSL7UTa38jMWoBzObD4BD,False,Tempo: 140.0 BPM; Loudness: -13.4 dB; Energy: 0.60; Minor mode,139.972,-13.399,0.601,0,Audial Stimulants
Lights,Ellie Goulding,11ozIUBoXAgRTVWelDn4pL,False,Tempo: 120.0 BPM; Energy: 0.73; Minor mode,120.028,-6.283,0.731,0,Audial Stimulants
bellyache,Billie Eilish,51NFxnQvaosfDDutk0tams,False,Tempo: 99.9 BPM; Loudness: -8.6 dB; Energy: 0.57; Minor mode,99.939,-8.597,0.573,0,Audial Stimulants
I Need Your Love (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",05SBRd4fXgn8FX7bf8BCAE,False,Tempo: 125.0 BPM,124.989,-5.066,0.869,1,Audial Stimulants
Escape (ft. Summer Haze),"Jaroslav Beck, Summer Haze",0WBoNTForFJonXKPhpi78t,False,Minor mode,174.951,-3.929,0.917,0,Audial Stimulants
ANIMA - Remix,"dj-Jo, Nyamai",1aH8KIxse9VitVzvwWsDyU,False,Tempo: 96.5 BPM; Energy: 0.80,96.546,-4.523,0.803,1,Audial Stimulants
Paradisus-Paradoxum - Myulee Extended Version,"dj-Jo, Myulee",2kcoByiwKzl2K4hUsFN2tL,False,Tempo: 100.5 BPM; Energy: 0.77; Minor mode,100.547,-3.555,0.77,0,Audial Stimulants
Dystopia,"Pixel Terror, JayKode",42RtvgUX2EykuJTUw582FC,True,All criteria met,150.059,-2.915,0.979,1,Audial Stimulants
Cataclysm,"Au5, Crystal Skies",7Bka7BItYbiCQOSbJNx0ni,True,All criteria met,140.028,-5.859,0.867,1,Audial Stimulants
Revive (Aiobahn Remix),"LIONE, Aiobahn",4XBSmBTUBgHNN0MbWk2THn,False,Tempo: 120.0 BPM,119.974,-3.827,0.888,1,Audial Stimulants
Reflected VIP,"Milkoi, Serentium",5SPcsftjYWJ9fwk2mhcpN1,False,Tempo: 99.9 BPM; Energy: 0.75,99.922,-3.25,0.746,1,Audial Stimulants
第六感,Reol,22sQUmLhT8umlEhQzDrzfJ,False,Tempo: 134.0 BPM,134.017,-1.754,0.959,1,Audial Stimulants
Bring Back the Summer (feat. OLY) - Not Your Dope Remix,"Rain Man, Oly, Not Your Dope",699qHtaq3GR1Liw9azpMTd,False,Tempo: 98.1 BPM; Minor mode,98.09,-3.436,0.85,0,Audial Stimulants
Error,GARNiDELiA,2oqyA8Wx4QBlCVlOzFZcAk,False,Minor mode,152.009,-3.474,0.917,0,Audial Stimulants
Different,Chime,3IAQjsDH5ggXZJoMXzT9La,False,Energy: 0.84; Minor mode,150.211,-2.828,0.839,0,Audial Stimulants
Roses - Imanbek Remix,"SAINt JHN, Imanbek",24Yi9hE78yPEbZ4kxyoXAI,False,Tempo: 122.0 BPM; Energy: 0.72,121.975,-5.484,0.724,1,Audial Stimulants
Cosmic,Wave Meow,570Sz8fASQY47LDVZ5GzTB,False,Tempo: 120.0 BPM; Loudness: -7.3 dB; Energy: 0.69,120.031,-7.334,0.691,1,Audial Stimulants
Anyone Can Fly - Ranji Remix,"The Spiritual Machines, Ranji",2X1a33Xd6QQgcpPkvA3NlW,False,Minor mode,140.035,-5.327,0.876,0,Audial Stimulants
Do Better,Feint,5RkJMrhW5aU2zMuJcZUNmh,True,All criteria met,174.101,-2.444,0.912,1,Audial Stimulants
One Look,"LVTHER, Mammals",03H8r2mL1W1bNOUn7naGiq,False,Tempo: 100.0 BPM; Minor mode,100.003,-3.029,0.863,0,Audial Stimulants
Just Don't,"Naturalize, Benzoo",7xB85efPYKSk2xIsLdvXCd,False,Loudness: -7.8 dB; Energy: 0.74,142.021,-7.815,0.737,1,Audial Stimulants
Already Gone,"Slowpalace, FWLR, qwinn",1R62WYOr9YiRCsjHAiiMun,False,Tempo: 124.0 BPM,124.007,-4.971,0.856,1,Audial Stimulants
Higher,Aktive,1dHW6MypbqYUzRXAItBQ07,True,All criteria met,174.039,-2.122,0.994,1,Audial Stimulants
Go and Get It,"Memento Mori, Massivebass, Massivo",68mHAuRNqFWBKVTxF1qtth,True,All criteria met,145.003,-6.3,0.862,1,Audial Stimulants
Everytime,"Maduk, Calixte",5Yo82MeYRWp1cm0Z3c4QfO,False,Minor mode,174.968,-3.514,0.89,0,Audial Stimulants
Weapon,"Grant, BAUM",0jdi6xVBhk96OEoO53yORN,False,Minor mode,140.074,-5.498,0.885,0,Audial Stimulants
